昵称,地区,时间,评论内容,点赞数
李子柒,四川,2024/11/13 13:41,,289974
谁动了我的奶酪,四川,2024/11/13 12:57,期初大家都仅仅以为她因为各种原因停更，后来才知道她是去“修炼”去了，归来还是顶流👍。,287259
仲夏夜的荒原,山东,2024/11/13 12:41,上次看姐姐你的视频还是在大学，花着父母的钱安然快乐地躺在宿舍床上。现在自己已经步入社会工作快三年了，每天奔波劳累一堆烦心事，感觉自己都静不下心来看你的视频了，人为什么越长大越痛苦[快哭了][快哭了],133876
看适界（互）,广东,2024/11/13 12:48,白月光归来依旧是白月光[送心][流泪][爱心][爱心][爱心],117188
小李❀  、🌸,江西,2024/11/13 12:53,看她的作品让我内心很平静，能真静下来去享受,103375
阿姆斯特朗回旋加速喷气式阿姆斯特朗炮,四川,2024/11/13 12:49,李子柒的视频不需要太多对话，不需要在镜头前说我要传承什么，我今天要干什么，我好辛苦，没有突兀的广告，只有自己和奶奶，配上宁静的音乐和适当的空镜，从白天到黑夜，从春夏到秋冬，总是一个人很安静地在做事，所以看她视频特别舒服，独一无二的李子柒[流泪],84312
春儿💫,广东,2024/11/13 12:49,"当歌声响起时，眼泪竟然不自觉的流出来了，这个才24岁的女子，太强大了[赞]

没有文化，不能精准的表达内心的感受，但想说她怎么就那么优秀，从种植桑叶，养蚕宝宝，到蚕宝宝吐丝，将蚕丝成线……最终成为自己喜欢的一花一物……太了不起了[赞]

视频也很用心，每一个细节的精美呈现，都是一道视觉盛宴[赞]",81421
之燊.,浙江,2024/11/13 12:37,"“因为想唱这首歌，所以才做了一朵绽放于蜀锦之上的绒花；
我祝福每位看到这个视频的朋友，锦上添花、绽放绚烂，称心如愿、一世荣华！”",45435
小团团,四川,2024/11/13 12:45,世外桃源的感觉，我也想有一家这样的小屋,45426
A馮小姐,广西,2024/11/13 12:37,山海自有归期，风雨自有相逢，意难平终将和解，万事终将如意。欢迎回归李子柒[玫瑰][玫瑰][玫瑰],45399
图图耳朵不大,浙江,2024/11/13 12:42,从李子柒的最新作品中可以看到，她的风格越来越鲜明。表面上看，她展现的是那种自信满满的女战士形象，但内核却是对自我的坚定热爱。不论是她的情感表达、生活叙述，还是对传统文化的传承，都在传达一个共同的主题：只要坚定不移地相信自己，走好自己的路，“我”就能成功，“我”会享受生活，并爱上那种活出自我的快感。希望大家能和李子柒一起，见证自我实现的美好旅程！,32321
二²,新疆,2024/11/13 12:47,唱到山河无恙这儿，我一整个鸡皮疙瘩都起来了，呜呜呜[流泪]终于等到你，还好我没放弃[眼含热泪],27603
Mr掌柜,山东,2024/11/13 12:48,采菊东篱下，悠然见南山。山气日夕佳，飞鸟相与还。,16719
十三,四川,2024/11/13 16:01,这就是做漆器严重过敏时候的李子柒。,13725
四川文旅,未知地区,2024/11/13 14:13,这儿看起来好像是绵阳平武哦[看]@绵阳文旅,11763
玓瓑,四川,2024/11/13 12:43,其才华横溢，如同烈火烹油，点燃周遭一切生机与活力，令人惊叹赞叹！,11508
无虞,江西,2024/11/13 12:39,子柒姐终于更新了，非遗文化需要您的弘扬，中华传统也需要您的传播，每次看您的视频我都被文化的魅力深深打动，从开头23年的时间就可以看出这是一条“蓄谋已久”的视频，看来您也没有抛弃我们，希望子柒姐以后越来越好，也能带来更高质的视频内容，着我华夏之裳，兴我文化瑰宝！[惊喜][赞],10096
月,北京,2024/11/13 12:33,"山气日夕佳，飞鸟相与还。
此中有真意，欲辨已忘言。",9358
四川文旅,未知地区,2024/11/13 12:33,子柒，今晚非遗盛典见[爱心][爱心],8773
hamster 🐹,辽宁,2024/11/13 12:39,李子柒的简单纯朴，对文化的热爱传承，安逸这种田园生活让自己变得轻松。这是我喜欢的李子柒,7428
做绒花的子琴姐姐,四川,2024/11/13 13:14,秀一下我做的[呲牙],6978
蜜糖奶罐,广西,2024/11/14 12:14,我用十字绣剩下的线做的[呲牙][玫瑰],5674
一笠雪,四川,2024/11/15 11:42,弹着钢琴唱歌的子柒太美了！看完真的很触动！[流泪]画的不好见谅,3920
怀念☞☜过去,江苏,2024/11/14 11:19,说实话就她这视频全网没几个主播能拍出来，翻拍我估计都没多少能学会的 [赞],3669
鈺,辽宁,2024/11/13 21:20,[泣不成声]我的天！！作为绒花手作人，看到这条视频真是无比激动！！ ！我敢说她的成品背后一定付出了很多时间磨练，细绒条是最难修的，记得我第一次修细绒条5个小时（就是此图[泪奔]），连续一周多手都是发炎状态，没办法自己张开合上，转眼也已经做了一年绒花，能做自己喜欢的事真的很好。,3336
克斯维尔的明天,辽宁,2024/11/13 12:34,最早的一次 美腻的子柒姐姐 愿你一路有鲜花相伴 越来越好 婆婆身体安康 心想事成 天冷了注意保暖呀[玫瑰][玫瑰][玫瑰],3144
木子李,河北,2024/11/13 13:01,股权/商标，都攥到自己手里了！ [赞][赞][赞],3105
中山八能厨电厂家,广东,2024/11/13 23:04,18岁的脸蛋，38岁的手，她是付出了多少啊,2654
Aurora，,四川,2024/11/13 14:08,又几个小时，涨粉千万，李子柒5千多万粉丝了~全网还有谁 [赞]  [赞],1956
醉逍遥,安徽,2024/11/13 17:22,应该做了几千条视频慢慢发了，几年了,1936
手手姐,重庆,2024/11/14 6:11,李子柒归来的三个作品，一个送给奶奶，一个送给自己，一个送给粉丝[泣不成声],1781
工地二哥,湖北,2024/11/13 15:32,我怀疑李子柒一个月的收入，比我一年收入还要多[一起加油][一起加油][一起加油],1381
soo.,江西,2024/11/13 12:58,李子柒你还有什么是不会的 [宕机],1092
鑫鑫的鑫,山西,2024/11/15 14:37,子柒。能不能去传承一下，中国泥金彩漆，只剩下一个爷爷了，就快要失传了[快哭了][快哭了][快哭了][快哭了][快哭了][快哭了],1005
富贵儿（学习版）,浙江,2024/11/13 14:28,现在有很多这种类型的视频了，但是李子柒只有一个,994
Азалия.,四川,2024/11/14 1:48,这是和我奶奶的合照！在学习和传承傈僳族的国家非遗——火草织布技艺~[送心][送心][送心],937
Shylock,浙江,2024/11/13 13:20,我们李姐已经是next level  谁又爽到了！我！,685
ヅ糖糖ぷ💋,山东,2024/11/13 14:14,弱弱的问一句，看李子柒的人群是80后还是90后？[求求了][求求了][求求了],677
无臂人生～汤展中,广西,2024/11/14 20:44,子柒晚上好，我是一个用双脚创造生活的人，今年我们这里的稻谷大丰收了[耶][比心][比心],548
命中注丁,陕西,2024/11/13 13:42,第一次看到子柒边弹边唱 [泣不成声],527
苏夜寒,河北,2024/11/13 15:46,终于有一个我会的啦[看],521
江西文旅,未知地区,2024/11/15 10:21,赣子柒 赣妈喊你回家啦  [玫瑰]  [比心]  [抱抱你],519
北村韩屋韩式炸鸡（天长总店）,安徽,2024/11/13 14:39,前面已经让我佩服了，居然还会弹钢琴，真的佩服的五体投地！,513
月亮不熬夜,广东,2024/11/14 13:45,真的假的 [流泪],474
俊哥探房,贵州,2024/11/14 10:45,一共303个镜头[捂脸]拍一个视频真不容易呀,432
开心日记,山东,2024/11/13 12:32,还有谁[抱抱你],353
圈圈,四川,2024/11/15 0:21,我觉得她这辈子很难嫁人了，没人能配得上她，就像仙女一样，[比心],338
。。。。,河北,2024/11/13 13:50,这么长的视频真有人看完吗[宕机],325
小明,北京,2024/11/13 19:23,听说李子柒在国外影响力特别大是真的吗,317
阿连精品百货,福建,2024/11/13 15:57,这么长的视频真有人看完吗[宕机],303
#＊捨心人丶🐶 🐶,广东,2024/11/13 13:21,这次回来，她真的叫李子柒了！,301
朱耿娟刺绣艺术,江苏,2024/11/14 15:21,蚕丝线绣出来的蓝荷叶,298
鸿建书法,天津,2024/11/14 15:28,刚写完有喜欢的拿去,294
萧远南,重庆,2024/11/13 14:01,感觉像四川话又像重庆话,289
曦禾,湖北,2024/11/13 14:05,微博发的，她真的太不容易了,288
想在对面泉水跳舞,江苏,2024/11/13 13:23,所以我算老粉吗[泣不成声],284
🔥甜心🔥,江苏,2024/11/13 20:19,她在告诉我们，任何时候别放弃，花有重开日。[比心],282
李家小院的李子,重庆,2024/11/13 18:27,因为她，种草了深刻的乡村小院梦想！但是无奈困于城里的生计。所以自己也花尽心思建了一个小院，周末节假日的时候去小住，可总归是蜻蜓点水般的体验，不得乡村生活的惬意精髓。希望退休的时候，也能如子柒这般，过上梦寐的田园生活[比心][比心][比心][比心],254
书香.春熙时光民宿（麻辣冷吃可快递）,四川,2024/11/13 12:43,1小时后告诉我多少了,249
一扛一麻袋,浙江,2024/11/13 17:27,刚染好色 就刷到了[玫瑰][玫瑰][玫瑰],196
筱筱(收徒),广东,2024/11/13 16:39,我亲手删了让我内耗的人 我勇敢吗[流泪],187
钰琪儿,山东,2024/11/14 8:30,我用葡萄皮染的菩提子，好看不[微笑],184
荣儿不爱靖哥哥,陕西,2024/11/14 0:05,胳膊上有那么大一个疙瘩,181
小鱼的鱼塘,四川,2024/11/13 13:26,我就好奇的问一下，他不卖产品，不打广告，怎么挣钱呢？毕竟有一个团队,178
六月✧,广东,2024/11/13 16:39,唱的是什么歌有谁知道呀 好熟悉想不起来名字,177
瑾舒,北京,2024/11/13 23:43,李子柒真的，一鲸落，万物生[流泪][流泪] 我来等2024，11～13号23点45那一批人[灵机一动][666],175
青 辰,山东,2024/11/13 16:47,"在李子柒停更的三年内，有无数网红模仿她的创作路线，但是到最后，绝大部分都只能模仿到皮毛，而没有那个有耐心模仿到她的精髓，剩下来的更是少之又少。
    她做黄豆酱，可以从种植黄豆，培育黄豆，到最后收获黄豆，到最后做成黄豆酱，一个视频的跨度能够达到一年，甚至更久，这种类型的创造，网红公司等不了，更多个人更没有那个耐心，细心，恒心做的了，不是纯粹出于内心的热爱，你做出来的作品跟她都不是一个味道，她成为顶流，实至名归！",163
平武发布,未知地区,2024/11/14 11:56,李子柒弹钢琴唱《如愿》取景地是平武王朗[爱心][爱心][爱心]真的很值得打卡，相信我！,160
水煮苦瓜,浙江,2024/11/13 14:08,这个地方太美了，朋友们这是在四川哪里啊，想去散散心 （抑郁症患者[泪奔][泪奔]）,158
小熊警官,陕西,2024/11/13 16:31,我在等2024.11.13   16：33这一批人,154
你的美如画,四川,2024/11/13 14:58,“婆婆”在四川是奶奶的意思，是父亲的妈妈的称为，不是老公的妈，谢谢。,151
命由天定,陕西,2024/11/13 15:46,现在26.1万，到了100万再给我说,151
瑾舒,北京,2024/11/13 23:49,李子柒真的，一鲸落，万物生[流泪][流泪] 我来等2024，11～13号23点50那一批人[灵机一动][666],146
小胖我饿了,广东,2024/11/13 13:02,李子柒老师，看一眼我的面塑吧，广东八零后非传承人在传承这条路上快饿死了[泣不成声][泣不成声][泣不成声],134
万般皆是命，半点不由人。,河南,2024/11/13 19:01,李子柒，原名李佳佳，1990年7月6日出生于河南省四川市，中国内地网络短视频创作者，2015年出道[赞][赞][赞]河南的的骄傲[赞],133
蒔園,江苏,2024/11/13 20:15,我自己做的绒花胸针[呲牙]其中几个款式,132
欧秀,安徽,2024/11/15 7:36,抖音变了，一刷一个都是广告，李子柒没变，归来仍是顶流！,131
木子李,河北,2024/11/13 12:58,股权/商标，都攥到手里了！ [鼓掌][鼓掌][鼓掌],128
晨 晨,浙江,2024/11/13 19:06,这是我做的,126
上弦月🍒☘️,四川,2024/11/13 13:55,想知道她是生活在四川哪里的？[比心][呲牙],124
农村七月,贵州,2024/11/14 8:54,不是说退出抖音了吗，世上再无李子柒，咋又回来了,122
玉婷爆爆爆,江西,2024/11/13 13:33,李子柒火的原因很简单，她一直以其独特的视频风格和深厚的文化底蕴，展现了中国传统的文化的美，温暖人心，传递正能量[比心]🌹🌹🌹,120
无臂人生～汤展中,广西,2024/11/15 11:14,子柒归来，紫气东来！希望你们不嫌弃，我这用脚来书写的祝福🙏[比心][比心],118
小翠姐,广东,2024/11/15 20:12,我爷爷说了，看到这颗柿子树的人，不管以后遇到什么事，都会柿柿如意[感谢][感谢][感谢]好运连连，平平安安，健健康康[感谢][感谢][感谢],116
乡村有生活,江西,2024/11/13 14:56,怎么开花的，谁知道？[耶],113
冠晴师兄,湖北,2024/11/14 16:12,做了几个，费手[捂脸][捂脸][捂脸],111
燕归来,重庆,2024/11/13 13:31,听到四川话在喊：今天像个女的,105
小希与果🍊,江苏,2024/11/15 21:42,新鲜出炉，今天刚做出来的绒花，尊重每一位手作人，非常不易，更可贵的是很多人仍然在坚持！希望非遗文化能让更多更多的人了解，发扬光大！,96
九歌,河南,2024/11/13 17:28,没养过蚕，想问下，蚕吐出来了茧，蚕去哪儿了？,95
惜言,陕西,2024/11/13 14:45,练了很久我做的绒花，子柒一定也练习了很久很久[玫瑰],94
梦梦分享,四川,2024/11/14 23:13,我喜欢煮饭，但是不喜欢洗碗，,93
鹃子轻食,广东,2024/11/13 13:53,谁能告诉我为什么这朵花它会自己绽放[泣不成声],92
农二哥私人订制叶雕照片,四川,2024/11/13 12:34,李子柒女神，这个东西是什么干什么用的？[耶],90
韵韵小宝贝,福建,2024/11/15 7:32,李子柒和特朗普一起复出了[舔屏],90
小团子,四川,2024/11/13 13:45,救命啊，我哭死啊，一样的缠花啊，为什么李子柒做出来就是像大片又有质感啊，真是归来仍是站在这个赛道巅峰的人。[泣不成声],90
池子,山东,2024/11/13 16:26,和李子柒联姻，需要什么条件,88
霖玲,广东,2024/11/13 12:57,李子柒火的时候，抖音这个软件都还没有吗？,88
仙女家的小可爱,辽宁,2024/11/13 20:16,哇  也祝我生日快乐 [比心],86
再见终究陌生人,江苏,2024/11/13 20:20,李子柒这样的一个视频，从拍摄剪辑制作到发出，最起码要半年了[赞],84
এ᭄ꦿ༊木木,湖北,2024/11/13 21:33,今天也是我女儿生日！祝大家所愿皆所得！,81
jxyxf,浙江,2024/11/13 15:46,妈也每一天贞都是电影级的大片  牛啊[赞][赞][赞][赞][赞][赞],80
有可乐吗来瓶雪碧,山东,2024/11/13 13:19,我想问下李子柒的螺狮粉还是她的吗？因为喜欢她，一直吃这个牌子的螺蛳粉，如果不是，我就换牌子[九转大肠],79
佩晗Rx,广西,2024/11/13 15:47,谁懂这个1分26秒点的意境！ 这视频处处都值得细细品味。[比心],79
鸿建书法,天津,2024/11/14 15:18,刚写完有喜欢的拿去,76
梦梦妈,四川,2024/11/13 13:55,她唱这首歌太触动人心了。谁知道这首歌叫什么名字，求告知[捂脸],76
星如雨,广西,2024/11/13 14:40,冷知识李子柒在抖音出生前就很火了[黑脸],75
滕某某,黑龙江,2024/11/24 18:14,李子柒你好。我有一个好朋友很喜欢看你的视频。在你停更的日子里他去了很远的地方.他很喜欢你的视频。但是他没有等到你再更新的日子。再也看不见你视频里的云淡风轻。我也知道这44万的评论你也不一定能看得见。但是我希望我的好朋友可以变成一只蝴蝶去到你的世外桃源。再也没有病痛折磨他。我也不知道我想表达什么。只是希望他在另外一个世界开开心心。无忧无虑,75
靜靜呢,吉林,2024/11/13 19:50,这首歌叫什么名字，原谅我的无知，好心人发一下,72
麦子🌼,福建,2024/11/13 14:40,现在真的还能看到这满天繁星吗？,72
求己,广东,2024/11/13 18:24,除了家人就没人知道我生日了[九转大肠],70
性感母蟑螂爱上娇羞金刚芭比,湖南,2024/11/13 15:32,热泪盈眶，谁懂这种感觉啊，从来没有哪个博主网红回归让我如此激动，我以前都是巴不得网红塌房的，除了李子柒，永远的白月光，无人可比。,70
桂花苹果,广西,2024/11/13 19:43,这是我做的绒花[猪头],69
岁月流年,云南,2024/11/15 19:17,自己养蚕，抽丝做的扇子，扇子骨架是买的。,66
枳枳💫,湖北,2024/11/14 22:04,这次回归三个视频，第一个给奶奶，第二个给自己，第三个给粉丝，真的很用心[泣不成声](另外: 不要买李子柒螺狮粉，那是微念的，和她没有半毛钱关系，抵制微念！）,65
沐沐10.3,广东,2024/11/13 13:05,还是感觉有点不真实，两年多没有发视频了，三年了哇，第三条视频了，还是感觉不真实。像小说里明明有一个喜欢的人，突然一声不吭的去了消失，前两年有了他的一点消息，然后又没有了，现在突然又出现哇，那种感觉。,65
👑👑👑,四川,2024/11/15 14:12,打卡，钢琴不见了[捂脸],63
非著名导演李安,河北,2024/11/13 13:33,[捂脸]不懂就问，这茧是他们变了扑愣蛾子钻出来才用吗，我看怎么直接摘走了,62
做绒花的子琴姐姐,四川,2024/11/14 13:49,哇塞这题我会[泣不成声],62
小狗咕咕唧,四川,2024/11/13 16:03,欢迎大家来子柒的故乡四川绵阳旅游哦，这里有全国最多的野生大熊猫，“四川第二大道观”云台观，飞来“三江半岛”过冬的红嘴鸥，平武报恩寺，李白出生地，中国两弹城。还有好吃的绵阳米粉和江油肥肠！,62
花儿的Vivian,四川,2024/11/15 16:28,我做的蚕丝扇，自己喂的蚕……[呲牙][呲牙][呲牙][呲牙],60
阿郎,重庆,2024/11/14 23:23,李子柒作品中的农村并不是现实中真正的农村，那只是有钱人的农村！,59
.知夏.,福建,2024/11/19 10:25,弄的我手痒痒又想去搓绒花啦[大笑][大笑]我不想买工具了，我会一点点缠花，第一朵成品肝了我四天半……,59
哇塞琳,广东,2024/11/14 12:14,这套衣服我好喜欢，好想买,57
梨萧饱,云南,2024/11/20 18:59,现在还有人看我就吃史[微笑][微笑],54
水蜜༗桃ཻ࿐,海南,2024/11/14 13:17,我在路边摘的野花漂亮吗？[比心][比心],54
秋儿💗庆达木皮,浙江,2024/11/14 12:21,因为你断更了，这包酸辣粉放了3年没吃,53
不見（山谷）,上海,2024/11/14 1:28,我是什么山顶洞人吗，476万赞了才刷到[宕机],53
枠,福建,2024/11/13 12:34,1500了，现在是多少？,52
Gentle,内蒙古,2024/11/17 18:25,姐姐，能不能去传承一下，中国泥金彩漆，只剩下一个爷爷了，就快要失传了[快哭了][快哭了][快哭了][快哭了][快哭了][快哭了],49
诺宝ó,河南,2024/11/13 16:25,听过这个名字。不知道这人是干啥的？好像好挺有名的[捂脸],48
Mr.楊,重庆,2024/11/13 14:08,她是哪里人，我能听懂她说方言,47
小鲁班🤟,西藏,2024/11/14 3:00,现在是3.00分[玫瑰][玫瑰],47
Lucky～⛽,甘肃,2024/11/13 14:11,是从这个视频认识李子柒的[玫瑰],46
云边小卖部ᰔᩚ,山东,2024/11/13 14:28,79.2w了   11.13 下午2.27分,46
第¹¹枝花,江西,2024/12/13 16:09,我是什么山顶洞人嘛，1000多万才刷到[听歌][听歌][听歌],46
米糕,广东,2024/11/13 19:38,她以前很火么。我还是第一次看到她，她到底是干什么的这么多人认识她,45
